person_id,name,character,role
546021,Ahmed Louxor,,ACTOR
500657,Salah Nazmi,,ACTOR
173191,Youssef Chahine,,DIRECTOR
63665,Dharmendra,Ali Baba,ACTOR
134657,Hema Malini,Morjina,ACTOR
105220,Zeenat Aman,Fatima,ACTOR
57763,Prem Chopra,Shamsher,ACTOR
514364,Zakir Mukhamedzhanov,,ACTOR
223525,Sofiko Chiaureli,,ACTOR
221086,Yelena Sanayeva,,ACTOR
358575,Frunzik Mkrtchyan,,ACTOR
219025,Maya-Gozel Aimedova,episode (uncredited),ACTOR
434193,Umesh Mehra,,DIRECTOR
514365,Latif Faiziyev,,DIRECTOR
225931,Faten Hamamah,Amal,ACTOR
15793,Omar Sharif,Ahmed,ACTOR
219842,Zaki Rostom,Taher Pasha,ACTOR
173189,Farid Shawqi,Reyadh,ACTOR
540702,Abdel Warith Assir,Sabir,ACTOR
493971,Ahmad Abdel Waress,,ACTOR
520600,Hamdy Ghaith,Selim,ACTOR
562959,Abdel Ghani Kamar,Hassan,ACTOR
988354,Zaki Ibrahim,(Lawyer),ACTOR
173191,Youssef Chahine,,DIRECTOR
15793,Omar Sharif,Ragab,ACTOR
225931,Faten Hamamah,Hamedah,ACTOR
225933,Ahmed Ramzy,Mamdouh,ACTOR
498370,Tewfik El Dekn,Ezzat,ACTOR
